name,Postcode,Type,Provider,OrganisationType,Latitude,Longitude
Avonlea Hostel,3418,Residential,Avonlea Inc,Community Based,-36.335116,141.655153
SCC Northcliffe Home,3196,Residential,Southern Cross Care (VIC),Religious,-38.04237294,145.1130356
SCC Corben Home,3194,Residential,Southern Cross Care (VIC),Religious,-37.98393195,145.0621723
Margery Cole Residential Care Service,3844,Residential,"""Yallambee"" Traralgon Village for the Aged Inc",Community Based,-38.195604,146.549021
Manor Court Werribee Aged Care Ltd,3030,Residential,Manor Court Werribee Aged Care Ltd,Community Based,-37.89658739,144.6569542
Woorayl Lodge Hostel,3953,Residential,Woorayl Lodge Inc,Community Based,-38.47934705,145.9421297
Dorothy Impey Home,3044,Residential,Coburg Home for the Aged Inc,Community Based,-37.734724,144.937294
Mercy Place Colac,3250,Residential,Mercy Aged and Community Care Ltd,Charitable,-38.34374761,143.5919192
Eva Tilley Memorial Hostel,3104,Residential,Eva Tilley Memorial Home Inc,Community Based,-37.79134319,145.0643694
Sunnyside House,3260,Residential,Sunnyside House Inc,Community Based,-38.2374651,143.1534879
Rose Lodge,3995,Residential,Wonthaggi & District Elderly Citizens Homes Inc,Community Based,-38.60712585,145.5827037
Carinya Lodge Hostel,3950,Residential,Carinya Lodge Homes Inc,Community Based,-38.43774549,145.8114715
BlueCross Ivanhoe,3079,Residential,Third Age Australia Pty Ltd,Private Incorporated Body,-37.75825079,145.0445244
Village Baxter - Lodge,3199,Residential,Baptist Village Baxter Ltd,Religious,-38.17495539,145.1444955
mecwacare Noel Miller Centre,3146,Residential,MECWA,Community Based,-37.856046,145.0470514
Montefiore Homes Community Residence,3004,Residential,Jewish Care (Victoria) Inc,Religious,-37.85287943,144.9820498
Nazareth House Camberwell,3124,Residential,Nazareth Care,Religious,-37.83939361,145.0888082
Ashleigh House Hostel,3850,Residential,Sale Elderly Citizens Village Inc,Community Based,-38.1052253,147.0852761
Alcheringa,3585,Residential,Respect Group Limited,Charitable,-35.33670714,143.5332906
Benetas Broughton Hall,3124,Residential,Anglican Aged Care Services Group,Religious,-37.824297,145.060194
Rosstown Community,3163,Residential,City of Glen Eira,Local Government,-37.889888,145.062346
Cohuna Village,3568,Residential,Respect Group Limited,Charitable,-35.80014999,144.2153502
Benetas Gladswood Lodge,3055,Residential,Anglican Aged Care Services Group,Religious,-37.758684,144.934543
Benetas Dalkeith Hostel,3844,Residential,Anglican Aged Care Services Group,Religious,-38.20931926,146.5206102
Campbell Place,3150,Residential,Australian Unity Care Services Pty Ltd,Private Incorporated Body,-37.87910001,145.1591122
Emmy Monash Aged Care,3161,Residential,Emmy Monash Aged Care Inc,Religious,-37.866235,145.026589
Vasey RSL Care Frankston South,3199,Residential,Vasey RSL Care Ltd,Community Based,-38.16954266,145.1234673
AdventCare Whitehorse,3131,Residential,Seventh-Day Adventist Aged Care (Victoria) Ltd,Religious,-37.82465886,145.1674969
AdventCare Yarra Ranges,3799,Residential,Seventh-Day Adventist Aged Care (Victoria) Ltd,Religious,-37.75230147,145.7024769
Amaroo Gardens - Aged Care Facility,3156,Residential,Wickro Pty Ltd,Private Incorporated Body,-37.88141832,145.2742274
Dunmunkle Lodge Hostel,3392,Residential,Dunmunkle Lodge Inc,Community Based,-36.45797181,142.5947669
Wharparilla Lodge,3564,Residential,Echuca Benevolent Society Inc,Community Based,-36.12895616,144.7219926
Edgarley Home,3311,Residential,Edgarley Home Inc,Community Based,-37.59057528,141.3972363
Karingal Seymour,3660,Residential,Seymour Elderly Citizens Hostel Inc,Community Based,-37.01895871,145.1403824
Mercy Place Boronia,3155,Residential,Mercy Aged and Community Care Ltd,Charitable,-37.8648795,145.2868622
Allambi Elderly Peoples Home,3414,Residential,Allambi Elderly Peoples Home Inc,Community Based,-36.44920536,142.0254205
mecwacare Simon Price Centre,3129,Residential,MECWA,Community Based,-37.80752346,145.1130577
Jacaranda House Hostel,3875,Residential,Bairnsdale Regional Health Service,State Government,-37.83277475,147.6060035
Benetas St Paul's Terrace,3199,Residential,Anglican Aged Care Services Group,Religious,-38.162952,145.135418
Sunnyside Lutheran Retirement Village,3400,Residential,Lutheran Church of Australia Victorian District,Religious,-36.70847,142.215949
Villa Maria Catholic Homes Providence Aged Care Residence,3340,Residential,Villa Maria Catholic Homes Limited,Charitable,-37.68739895,144.428355
St Catherine's Hostel Wangaratta Inc,3677,Residential,St Catherine's Hostel Wangaratta Inc,Religious,-36.35696505,146.3230543
Emerald Hill Residence,3205,Residential,Claremont and Southport Aged Care Limited,Community Based,-37.836578,144.960677
Mercy Place Montrose (Hostel),3765,Residential,Mercy Aged and Community Care Ltd,Charitable,-37.81400589,145.3515414
Gorrinn House Hostel,3377,Residential,Ararat Retirement Village Inc,Community Based,-37.28978926,142.940777
Melaleuca Aged Care,3922,Residential,Phillip Island Homes for the Aged Association Inc,Community Based,-38.454955,145.240574
Fairview Inc,3820,Residential,Fairview Village Limited,Community Based,-38.17473195,145.9288754
Benetas St Laurence Court - Eaglehawk,3556,Residential,Anglican Aged Care Services Group,Religious,-36.73558916,144.2542063
Villa Maria Catholic Homes St Catherine's Aged Care Residence,3103,Residential,Villa Maria Catholic Homes Limited,Charitable,-37.8056931,145.0969565
Mercy Place Fernhill,3191,Residential,Mercy Aged and Community Care Ltd,Charitable,-37.951371,145.007592
Mayflower Brighton,3187,Residential,Mayflower Brighton,Private Incorporated Body,-37.914631,145.008243
Churches of Christ Care Oak Towers Aged Care Service Oakleigh,3166,Residential,Churches of Christ in Queensland,Religious,-37.899344,145.097874
Wannon Court Hostel,3315,Residential,Western District Health Service,State Government,-37.60085845,141.6932614
Uniting AgeWell Condare Court,3124,Residential,The Uniting Church in Australia Property Trust (Victoria),Religious,-37.843052,145.092279
Uniting AgeWell Strath-Haven,3550,Residential,The Uniting Church in Australia Property Trust (Victoria),Religious,-36.77363926,144.3064834
Uniting AgeWell Kalkee Nangatta,3216,Residential,The Uniting Church in Australia Property Trust (Victoria),Religious,-38.17640095,144.3410227
Uniting AgeWell Tanderra,3124,Residential,The Uniting Church in Australia Property Trust (Victoria),Religious,-37.83848616,145.0839886
Uniting AgeWell Box Hill,3128,Residential,The Uniting Church in Australia Property Trust (Victoria),Religious,-37.81374123,145.1237478
Crossley House Hostel Inc,3971,Residential,Yarram & District Health Service,State Government,-38.55762255,146.6786154
Stretton Park Hostel,3860,Residential,Central Gippsland Health Service,State Government,-37.95787216,146.9854374
Faversham House,3126,Residential,Boroondara Aged Services Society,Community Based,-37.82334213,145.0852062
Rosebank Hostel,3717,Residential,Yea and District Memorial Hospital,State Government,-37.21383296,145.4316555
Mayflower Reservoir,3073,Residential,Mayflower Reservoir,Private Incorporated Body,-37.70453929,144.9949769
Hopetoun Hostel,3396,Residential,Rural Northwest Health,State Government,-35.73093915,142.3655104
Prague House,3101,Residential,St Vincent's Hospital (Melbourne) Limited,Charitable,-37.8091645,145.0519894
Lynden Aged Care,3124,Residential,Lynden Aged Care Association Inc,Community Based,-37.84180173,145.0869114
Southern Cross Care Newport,3015,Residential,Southern Cross Care (VIC),Religious,-37.84738018,144.8867277
Mercy Place Abbotsford Hostel,3067,Residential,Mercy Aged and Community Care Ltd,Charitable,-37.80204383,145.002118
Villa Maria Catholic Homes Willowbrooke Aged Care Residence,3156,Residential,Villa Maria Catholic Homes Limited,Charitable,-37.895267,145.304569
