lon,lat,Name,Type,Postcode
144.9833987,-37.80968063,East Melbourne Specialist Day Hospital,PRIVATE,3002
145.1493,-37.9514,Windsor Avenue Day Surgery,PRIVATE,3171
145.3446527,-38.03458049,Hyperbaric Health Wound Centre Berwick,PRIVATE,3806
143.8322861,-37.54055256,Ballarat Day Procedure Centre,PRIVATE,3355
145.1433793,-38.14818863,Bayside Day Procedure and Specialist Centre,PRIVATE,3199
144.2615,-36.7619,Bendigo Day Surgery,PRIVATE,3555
145.0412331,-37.92012465,Bentleigh Surgicentre,PRIVATE,3204
145.3465186,-38.03349627,Berwick Surgicentre,PRIVATE,3806
144.9918171,-37.91255965,Brighton Plastic Surgery Centre,PRIVATE,3186
145.0618787,-37.69257276,Victorian Gut Centre,PRIVATE,3083
145.0568024,-37.96046698,Chesterville Day Hospital,PRIVATE,3192
144.9647711,-37.7450167,Coburg Endoscopy Centre,PRIVATE,3058
145.2233009,-37.97424741,Dandenong Eye Clinic & Day Surgery Centre,PRIVATE,3175
145.0175764,-37.78110112,Darebin Endoscopy Services,PRIVATE,3078
145.1075879,-37.70532861,Diaverum Diamond Valley Dialysis Clinic,PRIVATE,3088
144.9399083,-37.78867873,Diaverum North Melbourne Dialysis Clinic,PRIVATE,3051
145.2275022,-37.81978389,Eastside Endoscopy Centre,PRIVATE,3134
144.9236382,-37.76579341,Essendon Private Clinic,PRIVATE,3039
145.0192142,-37.90043471,Glen Eira Day Surgery,PRIVATE,3162
145.0940256,-37.85808926,Glen Iris Private,PRIVATE,3146
145.0601726,-37.73049186,Heidelberg Endoscopy and Day Surgery Centre,PRIVATE,3081
144.8284825,-37.86964791,Altona Endoscopy Centre,PRIVATE,3018
144.6867,-37.8905,Werribee Endoscopy Centre,PRIVATE,3030
145.0449,-37.767,Ivanhoe Endoscopy Centre,PRIVATE,3079
144.9786716,-37.81676535,Jolimont Endoscopy Centre,PRIVATE,3002
145.0305,-37.8515,Malvern Dialysis Clinic,PRIVATE,3144
145.1152,-37.7731,Manningham Day Procedure Centre,PRIVATE,3107
145.0304,-37.8878,Melbourne Day Surgery Centre,PRIVATE,3162
144.9791,-37.8446,Melbourne Endoscopy,PRIVATE,3004
144.3632152,-38.15107303,Monash IVF Geelong,PRIVATE,3220
145.1897,-37.9671,Noble Park Endoscopy Centre,PRIVATE,3174
144.9093796,-37.77115427,Northwest Day Hospital,PRIVATE,3032
144.9981,-37.7176,Reservoir Private Hospital Day Procedure Centre,PRIVATE,3073
144.8836475,-38.36183865,Rosebud SurgiCentre,PRIVATE,3940
144.941,-37.8145,Specialist Surgicentre Docklands,PRIVATE,3008
145.1496,-37.9495,Springvale Endoscopy Centre and Day Hospital,PRIVATE,3171
144.7794,-37.744,St Albans Endoscopy Centre,PRIVATE,3021
144.9822,-37.8731,St Kilda Day Hospital,PRIVATE,3184
145.0393988,-37.86365343,Stonnington Day Surgery,PRIVATE,3144
145.0178298,-37.87021315,Precision Ascend Rehabilitation Centre,PRIVATE,3161
145.216202,-37.97733019,The Digestive Health Centre,PRIVATE,3175
145.165181,-37.8846424,The Glen Endoscopy Centre,PRIVATE,3150
145.0282824,-37.86396884,Toorak - Malvern Day Surgery Centre,PRIVATE,3144
145.008,-37.8414,Toorak Cosmetic Surgery Day Centre,PRIVATE,3142
145.0555,-37.8325,Vision Day Surgery Camberwell,PRIVATE,3123
145.1195514,-37.81769263,Vision Day Surgery Eastern,PRIVATE,3128
144.9803,-37.8506,Vision Laser St Kilda Road,PRIVATE,3004
145.1466179,-37.88034991,Waverley Endoscopy,PRIVATE,3149
144.6797482,-37.87748548,Westpoint Endoscopy Day Hospital,PRIVATE,3030
144.8162628,-37.76103061,Sunshine Private Day Surgery,PRIVATE,3021
144.8853872,-37.79198064,Western Gastroenterology Services,PRIVATE,3011
144.7496,-37.5798,Goonawarra Day Hospital,PRIVATE,3429
144.9837,-37.8251,Imaging@Olympic Park,PRIVATE,3004
144.7586258,-37.69335073,Sydenham Day Surgery,PRIVATE,3037
144.9980639,-37.85608534,Windsor Private Hospital,PRIVATE,3181
145.0496165,-38.22543417,Beleura Private Hospital,PRIVATE,3931
145.1552726,-37.83284916,Bellbird Private Hospital,PRIVATE,3130
144.9717073,-37.75648198,Brunswick Private Hospital,PRIVATE,3056
144.9875479,-37.81566205,Epworth Cliveden,PRIVATE,3002
145.0728365,-37.99062262,Como Private Hospital,PRIVATE,3195
145.0483,-37.8087,Cotham Private Hospital,PRIVATE,3101
145.0942,-37.8573,Delmont Private Hospital,PRIVATE,3146
